id,image,name,old_price,new_price,category,save
1,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-extra-tab-11664280219.png,Panadol | Extra Tablets for Extra Effective Relief for Pain...,,34,medication,
2,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/otrivin-nasal-drops-adult-15-ml-01664879257.png,Otrivin | Adult 0.1% Nasal Drops Unblocks Your Nose within ...,,16,medication,
3,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/enterogermina-oral-suspension-2-billion-5ml-20-vials-ypyv-01646136629.png,Enterogermina | Oral Suspension | 2 Billion / 5ml | 10 Vials,,75,medication,
4,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-anti-cough-100mg-20-lozenges-dg53-01646137337.png,Bronchicum | Anti Cough | 100mg | 20 Lozenges,,44,medication,
5,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125814telfast-antihistamine-180jpeg,Telfast | Antihistamine Allergy for Allergic Rhinitis and U...,,105,medication,
6,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-1640525399.png,Doliprane | Paracetamol Analgesic and Pain Killer | 1000mg ...,,28.5,medication,
7,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631427273maalox-antacid-oral-suspensions-lemon-flavoring-20-sachets-5mljpg,Maalox | Antacid Oral Suspensions Lemon Flavoring | 20 Sach...,,70,medication,
8,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125998bronchicum-anti-coughjpeg,Bronchicum | Anti Cough | 100ml,,45,medication,
9,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bisolvon-syrup-1640186019.png,Bisolvon | Cough Sedative | 4mg Syrup | 115ml,,20,medication,
10,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bisolvon-cough-sedative-8mg-10-tabs-5rbk-01646135709.png,Bisolvon | Cough Sedative | 8mg | 10 Tabs,,14,medication,
11,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125589telfast-antihistamine-120jpeg,Telfast | Antihistamine Allergy | for Allergic Rhinitis | 1...,,76,medication,
12,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125441telfast-antihistamine-allergy-oral-suspension-raspberry-flavorjpeg,Telfast | Antihistamine Allergy Oral Suspension Raspberry F...,,32,medication,
13,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634551557telfast-decongestant-10tabs-chefaajpeg,Telfast | Decongestant Antihistamine Allergy | for Allergic...,,40,medication,
